,Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Revenue Per Share,Total Revenue,Total Equity,Total CO2 Equivalent Emissions To Revenues USD in million,Company Market Capitalization,"Property Plant And Equipment, Total - Gross",P/E (Daily Time Series Ratio),returns_yearly,Current Ratio,Debt-to-Equity Ratio,Return on Assets,Revenue Per Employee,Return on Equity,Asset Turnover Ratio,Net Income Margin,RIC,Year,ESG Score
353,0.12989786118710325,-0.4017957643389198,0.015595742126609349,0.10520774540277258,-0.7495163139317065,1.2695470869709145,0.2591298009773755,0.12140783447646306,2.5228868198552306,-0.453251120821192,1.5390288289617453,-1.1116911712850037,0.9328974272344238,1.3595249508093088,-0.15819759296300784,-1.192697897895842,0.7374286882207542,-1.1714178186429312,-0.006293360414785079,-1.0429161023965712,UFS,2010,51.41484669
354,0.027696150781994135,-0.4330819310852301,-0.40690187366903025,0.01962436987085735,0.3892839231509814,1.4255823092730238,0.3423913693377997,0.34416193888758,2.4855260333540294,-0.43009246053319417,1.462323816881124,-1.3143974424905023,-0.09556175300875311,1.2463440304199616,-0.7264575630799183,0.31983041091873515,0.7703188021263142,-0.04958250566843284,0.2491322140168415,-0.18124498600966357,UFS,2011,51.81351021
355,0.06665422851067435,-0.44396407604046845,-0.08991194977373822,0.06337084174518319,-0.44940895733579816,1.880633875437948,0.2431262787470602,0.17090874656782237,3.4236127393548528,-0.5388277148755575,1.3731542403374015,-1.255183532288419,-0.7709595415298335,1.4448628291494774,-0.3164513056357398,-0.807446105913982,1.1220056553544306,-0.8299514721517843,0.03302894574948358,-0.7932325566847293,UFS,2014,66.21790421
356,-0.13926703948377817,-0.296374985085048,-0.16880929460187422,0.04722631045822961,-0.24576467964571752,2.0561690627255964,0.2803236547418471,0.21545956745004577,3.6649322061561374,-0.5799440291381376,1.379386522568952,-0.5950298456917299,-0.5561736906464299,0.1365404880465962,-0.4304675505088397,-0.538013418792926,1.4722827085907115,-0.6210348768409646,0.1115438697134429,-0.6407812625633345,UFS,2015,60.31414019
357,-0.1979571306075042,-0.390233485323979,-0.21969574777505071,-0.04495375527695698,-0.307393868946663,1.962040725094454,0.2156607743788164,0.11728275846884978,3.484473206543716,-0.5629927895833214,1.1715237483048162,-0.4052660712393909,-0.06910656284124513,0.3324659857641064,-0.42883526014204526,-0.5489631755089404,1.2196169155852348,-0.6331874979794712,0.17244939076359164,-0.6644463653284471,UFS,2016,65.84550691
358,-0.19087384374774416,-0.4140381774135629,-0.20008812361657904,-0.04044023040103448,-0.3958183579436717,1.897323918968032,0.17803087075618312,0.12718294088712165,3.409678627589879,-0.4698055120483867,1.3314458900185635,-0.4067341252448268,0.5036794555512725,0.46057224354791015,-0.4122927658417966,-0.6761828325553887,0.6780092775658165,-0.7459229965168251,0.10516692129566554,-0.7255564967464277,UFS,2017,65.27951106
359,-0.14584437728212676,-0.4221997861299917,-0.27618437927921907,-0.12168367816763961,-0.43601130748776656,1.9297157955793716,0.19057417196372753,0.0475689739401854,3.4076501176807734,-0.5957917063891748,1.4117464495404641,-0.6579841735928118,-1.4062477171902503,0.6393069246265122,-0.45282394631791967,-0.6775451833095762,1.4031666556937679,-0.7534482085754254,0.28177016171216823,-0.7650899883234804,UFS,2018,69.11160228
360,-0.1802489134581041,-0.393634155622491,-0.4050344808920329,-0.1715060489133996,-0.09303147137815701,2.081857071784388,0.2569671628381437,0.07025689198205842,3.184158102434938,-0.5985539191030403,1.4064729799599214,-0.8190785578890563,0.21817278293361003,0.399034545450288,-0.623970492683063,-0.08592847873427807,1.5723733603281758,-0.32990759078093956,0.5129383550388997,-0.5059422194168631,UFS,2019,67.13470611
361,-0.2161712968183157,-0.40519643463743177,-0.36115075063259633,-0.1753251853468725,-0.37974117812603375,2.0316503356557796,0.20614516656619647,0.00343066065872334,2.3812092831178577,-0.660954522842958,1.494923447015388,-0.6948158196104369,-0.5509698075750205,0.3436690214499009,-0.5337799892798902,-0.5445103239319221,2.0949956144869226,-0.6515211769713645,0.4301068304438822,-0.7222277857710299,UFS,2020,70.68854885
362,0.3090038289267499,-0.36370825699558545,-0.29159036968944685,-0.18348424954565548,-0.8218636231110773,1.3629809401346997,-0.13295649366534928,-0.04442022102959067,2.53179384120474,-0.5133177260148754,1.3820232573592233,-0.3386677313156806,1.563817721803892,1.6321735620422009,-0.4090975472465768,-1.259568038210185,0.3279862622677766,-1.2480977106834676,-0.17261122074593183,-1.081335961375543,UFS,2021,73.57834207
