,Unnamed: 0,Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Revenue Per Share,Total Revenue,Total Equity,CO2 Emissions,ESG Score,Company Market Capitalization,PPE Total,P/E (Daily Time Series Ratio),returns_monthly
4644,4644,-0.0799704741841016,-0.1611126961141103,-0.2063508793034874,-0.2315786415212082,-0.2285594470489656,0.0315743172091202,-0.0692759798358157,-0.218470195775322,-0.25794971646019,-0.9311109373838072,-0.1132702654816913,-0.1995762542747606,-0.1279082484665673,-0.0359695523637056
4645,4645,-0.217560246448043,-0.2015731803369153,-0.2020754502637461,-0.2883721749902936,-0.2734473573880447,-0.0133689217823654,-0.2201317237039594,-0.3314012726635552,-0.2583582426643198,-0.4820313525211207,-0.0312500349351419,-0.2549001145139062,1.6687113137288911,1.179831784182824
4646,4646,0.1507134279064712,0.3438531128384766,0.0856324212505783,0.2378534553699998,0.249962615999708,0.0158383433036206,0.1751545381920521,0.3157763759661964,-0.25817021365176,-0.0201665493657863,-0.0658741031475011,-0.1595437715551304,-0.1168091816162441,-1.7906637100664369
4647,4647,0.0691188212551964,0.2093536125509488,-0.0567678686330718,-0.0097171822723854,-0.2234777968219,0.0084859055863857,0.0631110586060666,-0.1592706539875673,-0.2533041996057908,0.8265458460135028,-0.0933961070492415,-0.119912186373465,-0.0658942186238108,0.5792338915323285
4648,4648,-0.3526098749783126,-0.3517312528742462,-0.1377078586083419,-0.2831032092578185,-0.3550755465560419,-0.0881343611728811,-0.4181526561734891,-0.2030740655439619,-0.2538262496084087,0.765133348798352,-0.1129257642058134,-0.3431376581785918,-0.1285298924349527,-0.9180616273860436
4649,4649,-0.2622292485312126,-0.2738804910085299,-0.0917123753178907,0.1716429456984101,-0.3242638596587003,-0.0653298981082073,-0.3107962776146968,0.4031528909894045,-0.0224945437552125,0.5260782001753596,-0.0788288272686955,-0.3230813315063522,-0.0912416602009577,-0.3737279774059466
4650,4650,-0.2750578623248266,-0.2203809835498599,-0.0848146831337748,0.1834349999696876,-0.2186784604963381,-0.0621416140048071,-0.264596531162034,0.4062774662392766,-0.0358177631240761,0.8342904027586844,-0.0628844780616412,-0.3192728048956864,-0.0600250119697283,0.6562227816182881
4651,4651,-0.2745955699358676,-0.1886131814842981,-0.0195431331270576,0.1909769145389499,-0.2071035905346888,-0.0623771438264389,-0.2661355899475558,0.4044919946679211,-0.0717434161891169,0.5509366304204132,-0.0634996437729769,-0.3205900396632851,0.5948459499639143,-0.4248076472714336
4652,4652,-0.2917581748759728,-0.1973058636415414,-0.0090540805495589,0.201310587539928,-0.2065389627316815,-0.0600529657886462,-0.2517523860246796,0.4059984863062523,-0.015386188914744,0.631897434709968,-0.0621563227530724,-0.3152924650544642,-0.0536788196726468,-0.3192907634486666
4653,4653,-0.2881754088615401,-0.1510765994416567,0.0889957587618414,0.2477079459535939,-0.2096444156482216,-0.060673410126605,-0.2556979730930172,0.4107969411542701,-0.0703568620723016,0.8028550754337195,-0.0692351782834821,-0.2937871756964941,-0.0611426014964337,-0.7136268191609342
4654,4654,-0.186933375679505,-0.1921692787304431,0.2673096525793186,0.3191477941801141,-0.2231954829203964,-0.0607500588932711,-0.256145699285169,0.4118570648997624,-0.0734071266398866,1.2119018486163105,-0.0479158375460503,-0.2834211107862608,-0.0626530357058036,-0.1708210858423037
